Poll,Date,Sample,MoE,Whitmer (D),Schuette (R),Spread
RCP Average,9/10 - 10/2,--,--,47.5,37.8,Whitmer +9.7
Detroit News/WDIV-TVDetroit News,9/30 - 10/2,600 LV,4.0,47,35,Whitmer +12
EPIC-MRA*EPIC-MRA*,9/21 - 9/25,600 LV,4.0,45,37,Whitmer +8
Mitchell ResearchMitchell Research,9/12 - 9/13,1009 LV,3.0,48,38,Whitmer +10
Target-Insyght/MIRSTarget-Insyght/MIRS,9/10 - 9/14,800 LV,3.0,50,41,Whitmer +9
Detroit News/WDIV-TVDetroit News,9/5 - 9/7,600 LV,4.0,50,36,Whitmer +14
GravisGravis,8/14 - 8/16,647 LV,3.9,52,37,Whitmer +15
EmersonEmerson,7/19 - 7/21,600 LV,4.3,43,36,Whitmer +7
NBC News/MaristNBC/Marist,7/15 - 7/19,886 RV,3.9,47,38,Whitmer +9
Target InsyghtTarget Insyght,6/24 - 6/26,800 LV,3.0,42,37,Whitmer +5
EPIC-MRAEPIC-MRA,4/30 - 5/3,600 LV,4.0,43,38,Whitmer +5
Detroit News/WDIV-TVDetroit News,1/16 - 1/19,600 LV,4.0,40,33,Whitmer +7
